,state,numberTickets,ticketsAmount,month,year
0,Aguascalientes,268660,16249442,1,2020
1,Baja California,1218936,66294422,1,2020
2,Baja California Sur,118108,5624621,1,2020
3,Campeche,138868,9073845,1,2020
4,Chiapas,286492,14174329,1,2020
5,Chihuahua,678322,40416746,1,2020
6,Ciudad de México,2614936,184185421,1,2020
7,Coahuila,474119,30210056,1,2020
8,Colima,133941,7123199,1,2020
9,Durango,148254,6971244,1,2020
10,Guanajuato,455637,24975797,1,2020
11,Guerrero,420295,21252491,1,2020
12,Hidalgo,176545,9408159,1,2020
13,Jalisco,1277307,76976973,1,2020
14,Michoacán,529321,29267689,1,2020
15,Morelos,211576,12445610,1,2020
16,México,703027,38320266,1,2020
17,Nayarit,71000,3282402,1,2020
18,Nuevo León,1142926,72243696,1,2020
19,Oaxaca,64610,3248075,1,2020
20,Puebla,479693,26670803,1,2020
21,Querétaro,402517,27806512,1,2020
22,Quintana Roo,549285,35060312,1,2020
23,San Luis Potosí,360174,20828143,1,2020
24,Sinaloa,211580,11042424,1,2020
25,Sonora,287270,16296892,1,2020
26,Tabasco,359664,19372812,1,2020
27,Tamaulipas,565611,31333661,1,2020
28,Tlaxcala,63028,3664559,1,2020
29,Veracruz,966594,56341986,1,2020
30,Yucatán,415553,25140865,1,2020
31,Zacatecas,86541,4114279,1,2020
32,Aguascalientes,274168,16837943,2,2020
33,Baja California,1307033,71130759,2,2020
34,Baja California Sur,132450,6263806,2,2020
35,Campeche,144817,9626940,2,2020
36,Chiapas,333095,15724425,2,2020
37,Chihuahua,764038,44713854,2,2020
38,Ciudad de México,3161140,211273334,2,2020
39,Coahuila,480594,30883327,2,2020
40,Colima,154601,8734741,2,2020
41,Durango,147276,6867407,2,2020
42,Guanajuato,547950,28865642,2,2020
43,Guerrero,438984,22157193,2,2020
44,Hidalgo,206784,10503872,2,2020
45,Jalisco,1451390,85359526,2,2020
46,Michoacán,619920,32713459,2,2020
47,Morelos,276150,15225624,2,2020
48,México,852957,44331636,2,2020
49,Nayarit,92538,4389959,2,2020
50,Nuevo León,1286260,78020149,2,2020
51,Oaxaca,82963,4148806,2,2020
52,Puebla,582356,32092287,2,2020
53,Querétaro,490600,33806346,2,2020
54,Quintana Roo,607609,36209074,2,2020
55,San Luis Potosí,396444,23209996,2,2020
56,Sinaloa,225882,11593537,2,2020
57,Sonora,358351,19641766,2,2020
58,Tabasco,396708,21004619,2,2020
59,Tamaulipas,687706,37242731,2,2020
60,Tlaxcala,82579,4575502,2,2020
61,Veracruz,1094079,61381762,2,2020
62,Yucatán,507346,28568591,2,2020
63,Zacatecas,83463,3930376,2,2020
64,Aguascalientes,74411,4638363,3,2020
65,Baja California,411050,22112034,3,2020
66,Baja California Sur,49561,2318793,3,2020
67,Campeche,52979,3332180,3,2020
68,Chiapas,144155,6394459,3,2020
69,Chihuahua,260783,14216584,3,2020
70,Ciudad de México,1054139,68186542,3,2020
71,Coahuila,143020,8614866,3,2020
72,Colima,66567,3990659,3,2020
73,Durango,37802,1568725,3,2020
