,state,numerTransactions
0,Ciudad de México,18775996
1,Jalisco,9702797
4,Baja California,6629520
17,Veracruz,6307305
6,Nuevo León,6245793
13,México,4683951
21,Quintana Roo,4478519
5,Michoacán,4230245
26,Chihuahua,4098347
2,Guanajuato,3717385
15,Tamaulipas,3673290
20,Puebla,3645304
14,Querétaro,2949124
16,Coahuila,2497324
9,Guerrero,2452540
22,Chiapas,2407091
25,Yucatán,2377579
23,San Luis Potosí,1987250
12,Aguascalientes,1813970
7,Sonora,1666545
19,Tabasco,1653040
24,Sinaloa,1588510
18,Morelos,1564169
8,Hidalgo,1183624
27,Colima,866978
3,Baja California Sur,836027
10,Campeche,777563
28,Oaxaca,638901
31,Durango,538170
11,Tlaxcala,471130
30,Zacatecas,452200
29,Nayarit,443384
