,state,numberTickets,ticketsAmount,member_id,month,year
482702,Querétaro,33,4785,TCC97W68D89VM,1,2020
482706,Querétaro,33,4785,TCC97W68D89VM,1,2020
482710,Querétaro,33,4785,TCC97W68D89VM,1,2020
518494,Jalisco,14,2576,TCCF0ULR0XD6X,1,2020
518496,Jalisco,14,2576,TCCF0ULR0XD6X,1,2020
1722443,Ciudad de México,15,2640,TCC7HX48PJ60W,1,2020
1722444,Ciudad de México,15,2640,TCC7HX48PJ60W,1,2020
1806855,Jalisco,16,2224,TCCCPG3Z7J2B0,1,2020
1970691,Jalisco,30,2160,TCC5Z0D3Q1TVV,1,2020
1970693,Jalisco,30,2160,TCC5Z0D3Q1TVV,1,2020
1970695,Jalisco,30,2160,TCC5Z0D3Q1TVV,1,2020
2192343,Nuevo León,70,3080,TCCWBRPQSKVCV,1,2020
2343073,Ciudad de México,14,2632,TCC0095228,1,2020
2343075,Ciudad de México,14,2632,TCCQJ4CT5VBDN,1,2020
2725653,Nuevo León,62,2666,TCCCZMZT2C3T5,1,2020
2725655,Nuevo León,62,2666,TCCCZMZT2C3T5,1,2020
2855876,Querétaro,17,2329,TCC8VR0FJ8ZZB,2,2020
2855879,Querétaro,17,2329,TCC8VR0FJ8ZZB,2,2020
3742449,Nuevo León,26,2782,TCCYKX1NM570D,2,2020
3742450,Nuevo León,26,2782,TCCYKX1NM570D,2,2020
4294737,Jalisco,58,2320,TCC8Z55HXYWJ1,2,2020
4385957,Querétaro,43,2494,TCCG1D2D13J1Y,2,2020
4385959,Querétaro,43,2494,TCCG1D2D13J1Y,2,2020
5228830,Ciudad de México,102,4998,TCCRW61TVPZX1,2,2020
5228832,Ciudad de México,102,4998,TCCRW61TVPZX1,2,2020
5243152,Ciudad de México,71,4828,TCC1745131,2,2020
5565621,Ciudad de México,200,7000,TCC9QFRJKQN9Q,2,2020
5846369,Jalisco,56,2408,TCCF2JJ92JV1X,2,2020
6044857,Nuevo León,157,6594,TCC05HM8BJHJB,2,2020
6337927,Jalisco,24,3336,TCCR1PTFMCQ3G,3,2020
6722996,Ciudad de México,15,2700,TCCU2V26HM58S,3,2020
7233167,Ciudad de México,22,3674,TCC7KBXCS2L86,9,2020
7314696,Querétaro,14,2142,TCCRYFBPM3RZ6,9,2020
7398253,Jalisco,21,3402,TCCSSKSS4NK1U,9,2020
